team_id,league,name,mascot,logo_url,conference_name,conference_wins,conference_losses,conference_ties,overall_wins,overall_losses,overall_ties
275,CFB,Wisconsin,Badgers,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/275.png,Big Ten,0.0,0.0,0.0,0.0,0.0,0.0
97,CFB,Louisville,Cardinals,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/97.png,ACC,0.0,0.0,0.0,0.0,0.0,0.0
107,CFB,Holy Cross,Crusaders,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/107.png,Patriot,0.0,0.0,0.0,0.0,0.0,0.0
2116,CFB,UCF,Knights,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/2116.png,Big 12,0.0,0.0,0.0,0.0,0.0,0.0
2,CFB,Auburn,Tigers,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/2.png,SEC,0.0,0.0,0.0,0.0,0.0,0.0
142,CFB,Missouri,Tigers,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/142.png,SEC,0.0,0.0,0.0,0.0,0.0,0.0
130,CFB,Michigan,Wolverines,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/130.png,Big Ten,0.0,0.0,0.0,0.0,0.0,0.0
2509,CFB,Purdue,Boilermakers,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/2509.png,Big Ten,0.0,0.0,0.0,0.0,0.0,0.0
183,CFB,Syracuse,Orange,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/183.png,ACC,0.0,0.0,0.0,0.0,0.0,0.0
228,CFB,Clemson,Tigers,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/228.png,ACC,0.0,0.0,0.0,0.0,0.0,0.0
2567,CFB,SMU,Mustangs,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/2567.png,American,0.0,0.0,0.0,0.0,0.0,0.0
154,CFB,Wake Forest,Demon Deacons,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/154.png,ACC,0.0,0.0,0.0,0.0,0.0,0.0
242,CFB,Rice,Owls,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/242.png,American,0.0,0.0,0.0,0.0,0.0,0.0
204,CFB,Oregon State,Beavers,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/204.png,Pac-12,0.0,0.0,0.0,0.0,0.0,0.0
311,CFB,Maine,Black Bears,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/311.png,CAA,0.0,0.0,0.0,0.0,0.0,0.0
349,CFB,Army,Black Knights,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/349.png,FBS (I-A),0.0,0.0,0.0,0.0,0.0,0.0
166,CFB,New Mexico State,Aggies,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/166.png,CUSA,0.0,0.0,0.0,0.0,0.0,0.0
2382,CFB,Mercer,Bears,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/2382.png,Southern,0.0,0.0,0.0,0.0,0.0,0.0
2335,CFB,Liberty,Flames,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/2335.png,CUSA,0.0,0.0,0.0,0.0,0.0,0.0
2747,CFB,Wofford,Terriers,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/2747.png,Southern,0.0,0.0,0.0,0.0,0.0,0.0
265,CFB,Washington State,Cougars,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/265.png,Pac-12,0.0,0.0,0.0,0.0,0.0,0.0
2643,CFB,The Citadel,Bulldogs,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/2643.png,Southern,0.0,0.0,0.0,0.0,0.0,0.0
2127,CFB,Charleston Southern,Buccaneers,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/2127.png,Big South-OVC,0.0,0.0,0.0,0.0,0.0,0.0
cle,MLB,Cleveland,Guardians,https://a.espncdn.com/combiner/i?img=/i/teamlogos/mlb/500/cle.png,AL Central,0.0,0.0,0.0,0.0,0.0,0.0
col,MLB,Colorado,Rockies,https://a.espncdn.com/combiner/i?img=/i/teamlogos/mlb/500/col.png,NL West,0.0,0.0,0.0,0.0,0.0,0.0
mil,MLB,Milwaukee,Brewers,https://a.espncdn.com/combiner/i?img=/i/teamlogos/mlb/500/mil.png,NL Central,0.0,0.0,0.0,0.0,0.0,0.0
det,MLB,Detroit,Tigers,https://a.espncdn.com/combiner/i?img=/i/teamlogos/mlb/500/det.png,AL Central,0.0,0.0,0.0,0.0,0.0,0.0
tb,MLB,Tampa Bay,Rays,https://a.espncdn.com/combiner/i?img=/i/teamlogos/mlb/500/tb.png,AL East,0.0,0.0,0.0,0.0,0.0,0.0
cin,MLB,Cincinnati,Reds,https://a.espncdn.com/combiner/i?img=/i/teamlogos/mlb/500/cin.png,NL Central,0.0,0.0,0.0,0.0,0.0,0.0
laa,MLB,Los Angeles,Angels,https://a.espncdn.com/combiner/i?img=/i/teamlogos/mlb/500/laa.png,AL West,0.0,0.0,0.0,0.0,0.0,0.0
hou,MLB,Houston,Astros,https://a.espncdn.com/combiner/i?img=/i/teamlogos/mlb/500/hou.png,AL West,0.0,0.0,0.0,0.0,0.0,0.0
phi,MLB,Philadelphia,Phillies,https://a.espncdn.com/combiner/i?img=/i/teamlogos/mlb/500/phi.png,NL East,0.0,0.0,0.0,0.0,0.0,0.0
nym,MLB,New York,Mets,https://a.espncdn.com/combiner/i?img=/i/teamlogos/mlb/500/nym.png,NL East,0.0,0.0,0.0,0.0,0.0,0.0
ari,MLB,Arizona,Diamondbacks,https://a.espncdn.com/combiner/i?img=/i/teamlogos/mlb/500/ari.png,NL West,0.0,0.0,0.0,0.0,0.0,0.0
chc,MLB,Chicago,Cubs,https://a.espncdn.com/combiner/i?img=/i/teamlogos/mlb/500/chc.png,NL Central,0.0,0.0,0.0,0.0,0.0,0.0
tex,MLB,Texas,Rangers,https://a.espncdn.com/combiner/i?img=/i/teamlogos/mlb/500/tex.png,AL West,0.0,0.0,0.0,0.0,0.0,0.0
wsh,MLB,Washington,Nationals,https://a.espncdn.com/combiner/i?img=/i/teamlogos/mlb/500/wsh.png,NL East,0.0,0.0,0.0,0.0,0.0,0.0
stl,MLB,St. Louis,Cardinals,https://a.espncdn.com/combiner/i?img=/i/teamlogos/mlb/500/stl.png,NL Central,0.0,0.0,0.0,0.0,0.0,0.0
sf,MLB,San Francisco,Giants,https://a.espncdn.com/combiner/i?img=/i/teamlogos/mlb/500/sf.png,NL West,0.0,0.0,0.0,0.0,0.0,0.0
kc,MLB,Kansas City,Royals,https://a.espncdn.com/combiner/i?img=/i/teamlogos/mlb/500/kc.png,AL Central,0.0,0.0,0.0,0.0,0.0,0.0
nyy,MLB,New York,Yankees,https://a.espncdn.com/combiner/i?img=/i/teamlogos/mlb/500/nyy.png,AL East,0.0,0.0,0.0,0.0,0.0,0.0
tor,MLB,Toronto,Blue Jays,https://a.espncdn.com/combiner/i?img=/i/teamlogos/mlb/500/tor.png,AL East,0.0,0.0,0.0,0.0,0.0,0.0
atl,MLB,Atlanta,Braves,https://a.espncdn.com/combiner/i?img=/i/teamlogos/mlb/500/atl.png,NL East,0.0,0.0,0.0,0.0,0.0,0.0
sd,MLB,San Diego,Padres,https://a.espncdn.com/combiner/i?img=/i/teamlogos/mlb/500/sd.png,NL West,0.0,0.0,0.0,0.0,0.0,0.0
mia,MLB,Miami,Marlins,https://a.espncdn.com/combiner/i?img=/i/teamlogos/mlb/500/mia.png,NL East,0.0,0.0,0.0,0.0,0.0,0.0
oak,MLB,Oakland,Athletics,https://a.espncdn.com/combiner/i?img=/i/teamlogos/mlb/500/oak.png,AL West,0.0,0.0,0.0,0.0,0.0,0.0
bal,MLB,Baltimore,Orioles,https://a.espncdn.com/combiner/i?img=/i/teamlogos/mlb/500/bal.png,AL East,0.0,0.0,0.0,0.0,0.0,0.0
bos,MLB,Boston,Red Sox,https://a.espncdn.com/combiner/i?img=/i/teamlogos/mlb/500/bos.png,AL East,0.0,0.0,0.0,0.0,0.0,0.0
pit,MLB,Pittsburgh,Pirates,https://a.espncdn.com/combiner/i?img=/i/teamlogos/mlb/500/pit.png,NL Central,0.0,0.0,0.0,0.0,0.0,0.0
sea,MLB,Seattle,Mariners,https://a.espncdn.com/combiner/i?img=/i/teamlogos/mlb/500/sea.png,AL West,0.0,0.0,0.0,0.0,0.0,0.0
lad,MLB,Los Angeles,Dodgers,https://a.espncdn.com/combiner/i?img=/i/teamlogos/mlb/500/lad.png,NL West,0.0,0.0,0.0,0.0,0.0,0.0
chw,MLB,Chicago,White Sox,https://a.espncdn.com/combiner/i?img=/i/teamlogos/mlb/500/chw.png,AL Central,0.0,0.0,0.0,0.0,0.0,0.0
min,MLB,Minnesota,Twins,https://a.espncdn.com/combiner/i?img=/i/teamlogos/mlb/500/min.png,AL Central,0.0,0.0,0.0,0.0,0.0,0.0
